,stadt,lat,lon
5,Essen,51.45657,7.012282000000001
11,Saarbrücken,49.235396,6.9816460000000005
15,Bonn,50.73438,7.095485000000001
17,Wiesbaden,50.082582,8.249322
24,Koblenz,50.353573,7.578835000000001
27,Münster,51.961114,7.624239
30,Braunschweig,52.265939,10.526726
31,Fürth,49.48121,10.96762
32,Lübeck,53.86687,10.688367
36,Erfurt,50.978695,11.032831
42,Regensburg,49.034512,12.119234
44,Göttingen,51.539334000000004,9.934057000000001
46,Cottbus,51.757690999999994,14.328875
51,Rosenheim,47.857316,12.119255
53,Stralsund,54.315822999999995,13.088588
55,Hofeck,50.330895,11.892585
57,Detmold,51.943277,8.872182
58,Meißen,51.15,13.483332999999998
59,Kitzingen,49.739731,10.150719
60,Dingolfing,48.62958,12.497606
61,Heppenheim,49.641447,8.632063
64,Husum,54.482518000000006,9.059913
65,Schwandorf,49.325340000000004,12.109795
66,Bitburg,49.967937,6.527343
67,Cham,49.225651,12.655013
69,Lüchow,52.968114,11.153967999999999
70,Gifhorn,52.477743000000004,10.551095
71,Biberach,48.099942,9.786893
73,Künzelsau,49.281802,9.683525
74,Weißenburg,49.030564,10.972771
75,Regen,48.971901,13.128243
77,Aurich,53.469193000000004,7.482319
79,Aichach,48.461421,11.134257
81,Görlitz,51.166667,15.0
85,Pirna,50.958054,13.938197
86,Neustadt,49.350089000000004,8.138863
87,Beeskow,52.172909999999995,14.245973000000001
89,Verden,52.923425,9.234908
91,Düren,50.804337,6.4929879999999995
92,Landsberg,48.047641999999996,10.869584
94,Meiningen,50.570434999999996,10.417231
95,Siegen,50.874815000000005,8.02431
96,Deggendorf,48.840855,12.960676
97,Peine,52.319277,10.2352
98,Frankfurt (Oder),52.344312,14.53498
100,Brake,53.32686700000001,8.480492
101,Memmingen,47.985359,10.182507000000001
102,Kirchheimbolanden,49.662487,8.015131
103,Tauberbischofsheim,49.624722,9.662778
104,Emmendingen,48.118466,7.8489320000000005
105,Warendorf,51.95109,7.987557000000001
106,Bad Segeberg,53.94313100000001,10.302154
107,Rotenburg,53.111251,9.410819
108,Kronach,50.238777,11.33049
109,Darmstadt,49.871674,8.650271
110,Mindelheim,48.045781,10.492223
112,Donauwörth,48.694951,10.779154
113,Korbach,51.274307,8.871960000000001
114,Herzberg,51.691501,13.232048
115,Hameln,52.109245,9.365097
116,Suhl,50.609111,10.694009
117,Friedberg,50.337391,8.755907
119,Neuburg,48.732181,11.18709
120,Bad Kissingen,50.202278,10.077836
121,Viersen,51.254348,6.394414
122,Birkenfeld,49.652446999999995,7.166678999999999
123,Bad Fallingbostel,52.866414,9.695578999999999
124,Halle,51.481473,11.967112
125,Bamberg,49.893174,10.88883
126,Fürstenfeldbruck,48.18662,11.27586
128,Bad Kreuznach,49.841396,7.867127
129,Heilbronn,49.13995,9.220541
130,Bad Ems,50.332737,7.717548
131,Schwäbisch Hall,49.105833000000004,9.734167
133,Saalfeld,50.648259,11.365363
134,Wolfenbüttel,52.164421000000004,10.540946
137,Günzburg,48.455989,10.276950999999999
138,Euskirchen,50.660569,6.787224
140,Rendsburg,54.306633999999995,9.663126
141,Tirschenreuth,49.884428,12.337277
144,Zwickau,50.72724,12.488394
145,Schwabach,49.330467999999996,11.023461
148,Ravensburg,47.781982,9.610619999999999
149,Leer,53.233724,7.456430999999999
150,Wittmund,53.576739,7.778389999999999
151,Ingelheim,49.970782,8.058826
153,Oranienburg,52.755772,13.241967
154,Erbach,49.661484,8.994017
155,Freising,48.402654,11.747976
158,Balingen,48.277142,8.852117999999999
160,Eisenach,50.980701,10.315221000000001
161,Tuttlingen,47.984644,8.817702
162,Neumünster,54.074773,9.981954
164,Köthen,51.751855,11.970928
165,Schleiz,50.578663,11.810236999999999
167,Baden-Baden,48.757630999999996,8.242458000000001
169,Wunsiedel,50.043134,12.004458999999999
170,Osterode,51.726856,10.250894
171,Sankt Wendel,49.466326,7.168142
174,Forst,51.735443,14.639710000000001
175,Pfaffenhofen,48.53159,11.506414999999999
178,Wilhelmshaven,53.529977,8.112525999999999
179,Limburg,50.383596999999995,8.050302
180,Freyung,48.80952,13.547679
184,Weiden,49.676823999999996,12.156125999999999
188,Kulmbach,50.100684,11.450319
189,Homberg,51.029942999999996,9.402612
190,Perleberg,53.07583,11.857394000000001
192,Northeim,51.706616,9.999975
194,Cuxhaven,53.866887,8.70168
195,Plön,54.162408,10.423328
196,Mühlhausen,51.208959,10.452753
197,Kempten,47.732209000000005,10.315858
198,Güstrow,53.798852000000004,12.178073
199,Lichtenfels,50.148152,11.069607000000001
200,Bad Salzungen,50.813418,10.236103
202,Jever,53.573676,7.898061
205,Delmenhorst,53.051103000000005,8.630908
206,Neubrandenburg,53.56414399999999,13.275319
207,Bad Dürkheim,49.461803,8.172358000000001
209,Altötting,48.225328999999995,12.676646
210,Erding,48.30662,11.907496
212,Holzminden,51.82901,9.459019999999999
213,Wetzlar,50.561091,8.50495
215,Mosbach,49.353573,9.151062
216,Heilbad Heiligenstadt,51.378187,10.137445
217,Neustadt,49.732873,12.17773
218,Calw,48.716828,8.737612
220,Annaberg-Buchholz,50.579985,13.003333
221,Wismar,53.893145,11.452859
224,Freiberg,50.910894,13.338807999999998
225,Mönchengladbach,51.185386,6.4417230000000005
226,Nordhausen,51.501799,10.795695
227,Krefeld,51.339208,6.586152
228,Stadthagen,52.324242,9.205314999999999
230,Celle,52.61909,10.092232000000001
231,Eberswalde,52.835127,13.823070000000001
234,Kaufbeuren,47.882382,10.621922999999999
235,Sömmerda,51.159143,11.115239
242,Ratzeburg,53.694697999999995,10.790845
243,Bad Homburg,50.229964,8.613056
244,Neustadt,49.579531,10.611257
246,Sangerhausen,51.472209,11.295333
247,Forchheim,49.72376,11.068238000000001
248,Eutin,54.140541000000006,10.607507
249,Bad Oldesloe,53.809543999999995,10.37997
250,Kelheim,48.921761,11.845459
251,Bad Neustadt,50.324586,10.198731
252,Helmstedt,52.230039,11.008984
253,Heinsberg,51.063583,6.0998
257,Haßfurt,50.03521,10.515604
258,Pinneberg,53.667324,9.789361999999999
260,Bad Schwalbach,50.141956,8.069639
261,Marktoberdorf,47.779637,10.617132000000002
262,Winsen,53.357528,10.212819999999999
265,Alzey,49.746574,8.115128
267,Passau,48.574308,13.464016
268,Cloppenburg,52.847538,8.045
269,Miesbach,47.791218,11.833358
270,Gotha,50.950945000000004,10.705764
272,Kusel,49.537724,7.404717
273,Meschede,51.350202,8.283325
274,Steinfurt,52.135197999999995,7.353441
277,Karlstadt,49.960341,9.772389
280,Rottweil,48.168228000000006,8.618248
281,Göppingen,48.703582,9.656463
282,Eichstätt,48.888543,11.196753
284,Schleswig,54.521561,9.558598
286,Olpe,51.02899,7.851392999999999
288,Ansbach,49.304808,10.593098
289,Wittlich,49.985958000000004,6.89308
292,Bottrop,51.523918,6.928499
294,Borken,51.843823,6.857742999999999
295,Starnberg,48.0,11.35
297,Lauterbach,50.635582,9.397772999999999
299,Rathenow,52.609013,12.346825
302,Siegburg,50.800194,7.207692999999999
303,Burg,52.271784000000004,11.851402
306,Coesfeld,51.943489,7.168094
307,Cochem,50.145108,7.163792999999999
308,Eschwege,51.183859000000005,10.053294000000001
309,Bad Hersfeld,50.871970000000005,9.708908000000001
310,Bad Neuenahr-Ahrweiler,50.543224,7.111305000000001
311,Sondershausen,51.369733000000004,10.87011
312,Dachau,48.258379999999995,11.449149
313,Meppen,52.69085,7.292763000000001
314,Wolfsburg,52.424516,10.781499
315,Brandenburg,52.410928000000006,12.551172
316,Sigmaringen,48.088291,9.230327
317,Sonthofen,47.518213,10.282619
318,Itzehoe,53.92516,9.517306
320,Dillingen,48.581528999999996,10.495275
321,Saarlouis,49.313663,6.751539
323,Oberhausen,51.473110999999996,6.880739
324,Goslar,51.917204,10.434446000000001
326,Germersheim,49.223056,8.363889
327,Hofheim,50.090194,8.449297
328,Ebersberg,48.077878000000005,11.964944000000001
329,Prenzlau,53.316246,13.862611
330,Bad Tölz,47.760760999999995,11.56301
331,Parchim,53.42718000000001,11.849164
332,Luckenwalde,52.090293,13.167717000000001
333,Bernburg,51.794638,11.740096000000001
334,Osterholz-Scharmbeck,53.22697900000001,8.79528
335,Stade,53.593368999999996,9.476291999999999
336,Neumarkt,49.281558000000004,11.457205
337,Salzgitter,52.083333,10.333333
338,Bautzen,51.18035,14.434941
339,Hildburghausen,50.426678,10.72889
340,Heidenheim,48.680587,10.152483
341,Wittenberg,51.867470000000004,12.6377
342,Kaiserslautern,49.442996,7.771614
343,Miltenberg,49.704515,9.267253
345,Fulda,50.554728999999995,9.683439
346,Senftenberg,51.525172999999995,14.001635
347,Mühldorf,48.246695,12.521552
348,Merzig,49.443313,6.638738
349,Seelow,52.533373,14.380004999999999
351,Waldshut-Tiengen,47.622491,8.199311
352,Neunkirchen,49.344493,7.180446000000001
353,Neuwied,50.433601,7.470566000000001
354,Daun,50.197155,6.8294179999999995
355,Esslingen,48.7374,9.316550999999999
356,Simmern,49.98198,7.523507
358,Diepholz,52.607826,8.370051
359,Frankenthal,49.534143,8.353574
360,Straubing,48.881259,12.573853
361,Pfarrkirchen,48.43233,12.938694
362,Hamm,51.673991,7.804448
363,Haldensleben,52.286851,11.413255
